2025-03-21 14:36:51,253 - INFO - Step 0: Holding...
2025-03-21 14:37:51,264 - ERROR - Step 0: Error in loop: could not broadcast input array from shape (59,5) into shape (60,5)
2025-03-28 16:40:33,433 - INFO - Step 0: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:40:43,558 - INFO - Step 1: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:41:03,582 - INFO - Step 2: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:41:13,601 - INFO - Step 3: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:41:23,617 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:41:33,636 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:41:43,655 - INFO - Step 6: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:42:29,703 - INFO - Step 0: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:42:49,774 - INFO - Step 1: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:42:59,788 - INFO - Step 2: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:43:09,808 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:43:29,825 - INFO - Step 4: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:43:39,841 - INFO - Step 5: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:43:49,860 - INFO - Step 6: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:43:59,870 - INFO - Step 7: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:44:09,883 - INFO - Step 8: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:44:19,892 - INFO - Step 9: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:44:39,911 - INFO - Step 10: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:44:49,923 - INFO - Step 11: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:44:59,937 - INFO - Step 12: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:45:09,955 - INFO - Step 13: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:45:19,971 - INFO - Step 14: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:45:29,991 - INFO - Step 15: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:45:40,004 - INFO - Step 16: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:45:50,017 - INFO - Step 17: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:46:00,029 - INFO - Step 18: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:46:10,046 - INFO - Step 19: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:46:30,066 - INFO - Step 20: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:46:40,082 - INFO - Step 21: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:47:00,100 - INFO - Step 22: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:47:10,117 - INFO - Step 23: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:47:20,135 - INFO - Step 24: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:47:50,150 - INFO - Step 25: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:48:00,168 - INFO - Step 26: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:48:30,180 - INFO - Step 27: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:48:40,192 - INFO - Step 28: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:48:50,209 - INFO - Step 29: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:49:00,219 - INFO - Step 30: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:49:10,233 - INFO - Step 31: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:49:20,254 - INFO - Step 32: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:49:30,272 - INFO - Step 33: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:49:40,286 - INFO - Step 34: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:49:50,299 - INFO - Step 35: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:50:00,309 - INFO - Step 36: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:50:10,323 - INFO - Step 37: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:50:30,338 - INFO - Step 38: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:50:40,347 - INFO - Step 39: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:50:50,362 - INFO - Step 40: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:52:44,646 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:57:05,389 - INFO - Step 1: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-28 16:58:15,660 - INFO - Step 2: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-28 16:58:15,674 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-28 16:58:25,690 - INFO - Step 4: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:58:35,704 - INFO - Step 5: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:58:45,718 - INFO - Step 6: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:58:55,735 - INFO - Step 7: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-28 16:59:05,754 - INFO - Step 8: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:22:51,857 - INFO - Step 0: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:23:12,077 - INFO - Step 1: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:23:32,109 - INFO - Step 2: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:23:37,055 - INFO - Step 0: Action [2], Reward [-0.00015], Episode 0, Trade Count 1
2025-03-31 16:23:42,082 - INFO - Step 0: Action [2], Reward [-0.00015], Episode 0, Trade Count 1
2025-03-31 16:23:42,354 - INFO - Step 1: Action [2], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:23:47,383 - INFO - Step 1: Action [2], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:24:07,340 - INFO - Step 3: Action [1], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:24:07,364 - INFO - Step 4: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:24:07,587 - INFO - Step 2: Action [2], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:24:07,735 - INFO - Step 2: Action [2], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:24:07,779 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:24:17,803 - INFO - Step 4: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:24:17,813 - INFO - Step 3: Action [2], Reward [-3.e-05], Episode 0, Trade Count 1
2025-03-31 16:24:27,832 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:41,434 - INFO - Step 0: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:25:41,623 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:42,294 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
